id,pred_frame,true_frame
84865|None|CP102288.1_cds_UWP52387.1_46|0|1,1,1
813986|GCF_024461385.1|NZ_JANFZP010000018.1_cds_WP_146265047.1_951|0|1,1,1
276424|GCF_011250515.1|NZ_JAANOP010000001.1_cds_WP_166373474.1_394|0|-3,-3,-3
314779|None|JANGBY010000008.1_cds_MCQ5150614.1_1739|0|3,3,3
631158|GCF_900240845.1|NZ_OERU01000006.1_cds_WP_101773725.1_1808|0|1,1,1
431460|None|CP137817.1_cds_WPB46811.1_689|0|2,2,2
251736|GCF_038066715.1|NZ_JBBUKT010000002.1_cds_WP_341403320.1_1060|0|2,2,2
834973|GCF_004342725.1|NZ_SMCP01000001.1_cds_WP_132964591.1_246|0S|-1,-1,-1
401750|GCF_001436325.1|NZ_AZFW01000153.1_cds_WP_027828214.1_1656|0SS|2,2,2
123636|GCF_014646175.1|NZ_BMMY01000002.1_cds_WP_229661764.1_927|0|-2,-2,-2
167220|GCF_030127535.1|NZ_JANXKX010000001.1_cds_WP_057973860.1_306|0|3,3,3
398502|None|QRSU01000005.1_cds_RGQ11897.1_2227|0|1,1,1
935352|None|CZBE01000006.1_cds_CUP51433.1_1001|0|1,1,1
138555|None|VSFC01000062.1_cds_TYA52409.1_2389|0|1,1,1
137200|None|VSFC01000020.1_cds_TYA57952.1_1789|0|1,1,1
450061|GCF_014192335.1|NZ_JACHXU010000014.1_cds_WP_184306463.1_3786|0|-2,-2,-2
421093|None|CP072598.1_cds_QTO56041.1_2300|0S|1,1,1
451028|None|JANXLC010000001.1_cds_MDK1735524.1_488|0S|-1,-1,-1
521883|GCF_000515395.1|NZ_KI911782.1_cds_WP_026877737.1_4838|0SS|-1,-1,-1
596104|None|JAUDEF010000040.1_cds_MDM8286837.1_1593|0S|2,2,2
622889|None|ANMO01000109.1_cds_EMB17084.1_2170|0S|2,2,2
833628|None|JACIFF010000009.1_cds_MBB4080708.1_3309|0|2,2,2
857539|GCF_025532145.1|NZ_ARXS01000004.1_cds_WP_262459708.1_3164|0|1,-1,1
173403|GCF_003471195.1|NZ_QRIN01000086.1_cds_WP_118201662.1_3001|0S|1,1,1
962808|None|JADYTY010000003.1_cds_MCF2600477.1_1534|0|1,1,1
438370|None|BKZW01000001.1_cds_GER87286.1_1448|0|-3,-2,-3
902396|GCF_000518545.1|NZ_JADU01000021.1_cds_WP_027952541.1_1917|0|-3,-3,-3
536600|GCF_025148285.1|NZ_CP102268.1_cds_WP_040782287.1_805|0|-3,-3,-3
936504|None|MKQD01000038.1_cds_OKY26355.1_1739|0|-1,3,-1
576348|None|BMFC01000039.1_cds_GGC24481.1_4623|0|-1,-1,-1
207250|GCF_900142675.1|NZ_FRBS01000001.1_cds_WP_011246993.1_905|0|-2,-2,-2
678632|None|JAGFNY010000037.1_cds_MBW7570937.1_1664|0S|1,1,1
811190|None|CP116499.1_cds_WMC20301.1_53|0|1,1,1
891915|GCF_014218805.1|NZ_JACJUV010000001.1_cds_WP_185233449.1_1794|0|-2,-2,-2
826957|None|GL891987.1_cds_EGK00590.1_3233|0|2,2,2
950507|GCF_903994065.1|NZ_CAJEWA010000004.1_cds_WP_208454852.1_77|0SS|-1,-1,-1
617586|None|JAHUTS010000006.1_cds_KU854_09930_4160|0|1,1,1
383848|GCF_030284695.1|NZ_JASUZX010000002.1_cds_WP_195850189.1_2792|0|-2,-2,-2
395264|GCF_016652235.1|NZ_JAEPKU010000003.1_cds_WP_201109843.1_2462|0|3,3,3
975550|GCF_030067835.1|NZ_CP092441.1_cds_WP_317854346.1_2204|0|-1,-1,-1
807187|GCF_013300085.1|NZ_JAAINH010000013.1_cds_WP_130096680.1_326|0|-1,-1,-1
676956|None|JAGFNY010000017.1_cds_MBW7570413.1_1139|0|-1,-1,-1
702736|None|VZBS01000055.1_cds_MQN98421.1_2099|0S|-1,-1,-1
604299|GCF_022136625.1|NZ_JAKNFO010000011.1_cds_WP_022059449.1_554|0S|3,3,3
831710|GCF_020166515.1|NZ_JAINZT010000001.1_cds_WP_224487683.1_19|0S|2,2,2
350849|None|QSDB01000002.1_cds_RGY63601.1_1535|0S|-1,-1,-1
139037|None|VSFC01000042.1_cds_TYA55134.1_2603|0|-1,-1,-1
754330|None|BAABHM010000026.1_cds_GAA4716894.1_4542|0|-3,-3,-3
733891|None|JASOKU010000009.1_cds_MDK6830471.1_466|0|-3,-3,-3
670129|GCF_011038955.1|NZ_JAAKED010000034.1_cds_WP_241156596.1_1360|0|-1,-1,-1
106135|GCF_000092125.1|NC_014212.1_cds_WP_013157408.1_924|0|3,3,3
33731|None|CP070644.1_cds_UCH45723.1_623|0|-2,-2,-2
543485|GCF_026427675.1|NZ_CP107525.1_cds_WP_109537258.1_597|0|-1,-1,-1
952306|GCF_903994065.1|NZ_CAJEWA010000006.1_cds_WP_184284034.1_1724|0|-1,-1,-1
335367|None|CAQM01000083.1_cds_CCQ60046.1_455|0|1,1,1
403758|None|UGTJ01000001.1_cds_SUB80730.1_2370|0|1,1,1
832468|GCF_020166515.1|NZ_JAINZT010000005.1_cds_WP_224489607.1_1311|0|-2,-2,-2
854329|GCF_003576365.1|NZ_QWGS01000346.1_cds_WP_119435365.1_2350|0|-1,-1,-1
831442|None|FNWT01000010.1_cds_SEH65347.1_1351|0|-1,-1,-1
15344|GCF_024532035.1|NZ_CP088266.1_cds_WP_041464612.1_1853|0|1,1,1
871379|None|CP050848.1_cds_QNN25175.1_4709|0S|-1,-1,-1
664370|GCF_000736515.1|NZ_JDSI01000009.1_cds_WP_160171994.1_1610|0|-1,-1,-1
928936|None|QRUX01000001.1_cds_RGS06356.1_210|0|-3,-3,-3
745224|GCF_014290175.1|NZ_JACOOR010000003.1_cds_WP_021749501.1_1394|0S|-3,-3,-3
117603|None|AESD01000450.1_cds_EHJ12243.1_3030|0|-1,-1,-1
887113|GCF_900108495.1|NZ_FNWT01000016.1_cds_WP_078686863.1_1650|0|2,2,2
565012|GCF_008180855.1|NZ_VTEY01000004.1_cds_WP_148969468.1_3057|0|-3,-3,-3
151037|GCF_010993775.1|NZ_WOTO01000001.1_cds_WP_279578945.1_194|0|-3,-3,-3
39775|GCF_019904275.1|NZ_CP063204.1_cds_WP_223090568.1_417|0|-3,-3,-3
207177|GCF_900142675.1|NZ_FRBS01000001.1_cds_WP_073304119.1_824|0|-2,-2,-2
450021|GCF_014192335.1|NZ_JACHXU010000014.1_cds_WP_184306370.1_3669|0SS|-3,-3,-3
244552|GCF_022602235.1|NZ_JAKZKG010000005.1_cds_WP_214216910.1_2477|0|-2,-2,-2
215159|GCF_016696765.1|NZ_CP065313.1_cds_WP_066593541.1_626|0|3,3,3
607064|GCF_022136625.1|NZ_JAKNFO010000009.1_cds_WP_227135407.1_2836|0|-3,-3,-3
598021|GCF_000265405.1|NC_018010.1_cds_WP_014772923.1_2347|0|2,2,2
111412|None|CP107218.1_cds_UYJ17275.1_417|0|-2,-2,-2
138921|None|VSFC01000032.1_cds_TYA56008.1_2547|0|3,3,3
697323|GCF_016862495.1|NZ_BONB01000079.1_cds_WP_116070980.1_7161|0S|2,2,2
757610|None|JABEMA010000104.1_cds_NNH23157.1_124|0S|1,1,1
773189|None|QOHG01000013.1_cds_RBY84228.1_560|0|3,3,3
16914|None|JAKNIW010000012.1_cds_MCG4523239.1_484|0|-3,-3,-3
146588|GCF_003574425.1|NZ_QLIU01000017.1_cds_WP_119328345.1_610|0|3,3,3
861953|GCF_015559395.1|NZ_JADMPX010000056.1_cds_WP_229088749.1_2054|0|-1,-1,-1
607001|GCF_022136625.1|NZ_JAKNFO010000009.1_cds_WP_147564832.1_2794|0|3,3,3
342758|GCF_024436435.1|NZ_JAFMZP010000008.1_cds_WP_256012810.1_4350|0|-2,-2,-2
605921|GCF_022136625.1|NZ_JAKNFO010000003.1_cds_L0P08_RS06510_1920|0S|2,-1,2
46107|GCF_020320395.1|NZ_JAEDAH010000099.1_cds_WP_225676826.1_1272|0|-1,-1,-1
335978|None|CAQM01000316.1_cds_CCQ61408.1_1817|0|2,2,2
31216|GCF_015903855.1|NZ_JACZDT010000002.1_cds_WP_197221457.1_1445|0|3,3,3
803257|GCF_009947575.1|NZ_CP039788.1_cds_WP_010875037.1_710|0|-1,-1,-1
251814|GCF_038066715.1|NZ_JBBUKT010000002.1_cds_WP_341403470.1_1212|0S|2,2,2
897606|GCF_011761495.1|NZ_JAASRU010000006.1_cds_WP_208379634.1_1400|0|1,1,1
748319|GCF_000971155.1|NZ_BBLX01000005.1_cds_WP_062298423.1_1266|0|1,1,1
664193|GCF_000736515.1|NZ_JDSI01000008.1_cds_WP_037359805.1_1488|0|-2,-2,-2
779394|GCF_003473265.1|NZ_QRMN01000040.1_cds_WP_117699424.1_2636|0|1,1,1
270851|None|JAHVIX010000005.1_cds_MBY6095725.1_2608|0|-2,-2,-2
610035|GCF_000422645.1|NZ_AUGL01000020.1_cds_WP_028110073.1_3132|0S|2,2,2
632373|GCF_000826655.1|NZ_JXJO01000022.1_cds_WP_040281206.1_2073|0|-1,-1,-1
300312|GCF_028327585.1|NZ_JAQMLR010000012.1_cds_WP_119981759.1_230|0|-1,-1,-1
998050|GCF_015549505.1|NZ_JADMYZ010000004.1_cds_WP_118686962.1_1454|0S|-1,-1,-1
628964|None|CP122397.1_cds_WGG47549.1_1965|0|3,3,3
535236|GCF_900141865.1|NZ_FQYW01000024.1_cds_WP_159446778.1_81|0|1,1,1
166746|None|JAASRU010000020.1_cds_NIK13324.1_2689|0|-2,-2,-2
254173|None|JAJCMB010000011.1_cds_MCB6608365.1_377|0|-1,-1,-1
415593|GCF_943193035.1|NZ_CALPCK010000003.1_cds_WP_251159374.1_1851|0|3,3,3
435863|None|NBXE01000007.1_cds_RFA29078.1_476|0|1,1,1
520479|GCF_000515395.1|NZ_KI911782.1_cds_WP_026875670.1_2117|0|3,3,3
975907|None|CAUZLQ010000001.1_cds_CAK1225580.1_186|0|-3,-3,-3
462363|None|CP070719.1_cds_UCF31516.1_703|0S|-3,-3,-3
566778|GCF_008180855.1|NZ_VTEY01000007.1_cds_WP_148970646.1_4337|0|-2,-2,-2
864533|GCF_014196455.1|NZ_JACIDS010000002.1_cds_WP_183398442.1_1836|0|-2,-2,-2
666227|None|AQQV01000001.1_cds_ORE89141.1_932|0|-1,3,-1
579817|GCF_020423365.1|NZ_JAERUG010000006.1_cds_WP_013954990.1_687|0S|-2,-2,-2
482396|None|JAFCNB010000004.1_cds_MBP2703963.1_4682|0|1,1,1
202278|None|JAJPGJ010000003.1_cds_MCY2902862.1_307|0|-1,-1,-1
412479|GCF_021390335.1|NZ_JAJUXK010000001.1_cds_WP_233790217.1_317|0|2,2,2
926201|None|QZDC01000002.1_cds_MCW5234588.1_5265|0|3,-3,3
368241|GCF_003345255.1|NZ_CP029331.1_cds_WP_114649898.1_2167|0S|-1,-1,-1
127061|None|FNQC01000010.1_cds_SDZ33043.1_3809|0|3,3,3
496745|GCF_028736955.1|NZ_JAQZDX010000001.1_cds_WP_273569804.1_13|0|-3,-3,-3
795026|GCF_028368535.1|NZ_JAQNCF010000018.1_cds_WP_022219877.1_545|0|-2,-2,-2
574927|None|BMFC01000012.1_cds_GGC16599.1_3630|0|-1,1,-1
393147|GCF_030923555.1|NZ_JAFFLA010000009.1_cds_WP_010874846.1_742|0|3,3,3
233512|None|QVLY01000003.1_cds_RGE87519.1_1921|0SS|-1,-1,-1
696143|GCF_016862495.1|NZ_BONB01000019.1_cds_WP_239097230.1_3455|0S|-3,-3,-3
602556|None|CP051180.1_cds_QIZ78799.1_589|0|2,2,2
97640|GCF_018128945.1|NZ_CP068393.1_cds_WP_283399331.1_217|0|3,3,3
245127|GCF_022602235.1|NZ_JAKZKG010000009.1_cds_WP_214218267.1_3032|0|-3,-3,-3
137038|None|VSFC01000050.1_cds_TYA53894.1_1715|0S|2,2,2
774522|GCF_018336475.1|NZ_CP048741.1_cds_WP_296644875.1_1389|0|-3,-3,-3
972941|GCF_039542095.1|NZ_BAABHM010000002.1_cds_WP_253872201.1_7|0|-1,-1,-1
910739|GCF_009943805.1|NZ_CP039778.1_cds_WP_010874906.1_576|0SS|-1,-1,-1
885815|GCF_900108495.1|NZ_FNWT01000004.1_cds_WP_078687566.1_214|0|-3,-3,-3
523594|None|JAQZDX010000001.1_cds_MDD7837588.1_203|0|2,2,2
836894|GCF_004342725.1|NZ_SMCP01000004.1_cds_WP_132966346.1_1157|0|-2,-2,-2
416210|None|JACHXB010000002.1_cds_MBB3084165.1_2346|0|-2,-2,-2
513487|None|JAHOAY010000019.1_cds_MBV3143232.1_753|0S|-3,-3,-3
79220|GCF_002865465.1|NZ_NIHP01000005.1_cds_WP_009244350.1_2535|0|-3,-3,-3
484131|GCF_003633755.1|NZ_RBIL01000002.1_cds_WP_170179402.1_5049|0|-1,-1,-1
378342|None|CP002659.1_cds_AEC01686.1_444|0S|2,-3,2
346931|GCF_035917015.1|NZ_JAPFBT010000009.1_cds_WP_325810030.1_3755|0|3,3,3
144392|GCF_016587375.1|NZ_BNJG01000001.1_cds_WP_201372285.1_4047|0SS|-3,-3,-3
395028|GCF_016652235.1|NZ_JAEPKU010000171.1_cds_WP_201114163.1_1030|0S|-3,-3,-3
828969|GCF_014042365.1|NZ_JACEZS010000014.1_cds_WP_182219203.1_782|0S|-2,-2,-2
647267|None|BMKN01000002.1_cds_GGE59217.1_2865|0SS|-2,-2,-2
557795|GCF_013283115.1|NZ_WBXW01000005.1_cds_WP_173487249.1_2750|0|2,2,2
68119|None|CP102983.1_cds_WMC19692.1_35|0|-3,-3,-3
921710|None|JAAINW010000005.1_cds_NSE12688.1_2719|0|-3,-3,-3
811602|None|CP116499.1_cds_WMC20321.1_73|0|-2,-2,-2
842138|None|RHRN01000010.1_cds_RRW13817.1_39|0|-1,-1,-1
143851|None|CP141026.1_cds_WQQ03926.1_725|0|1,1,1
46451|GCF_020320395.1|NZ_JAEDAH010000047.1_cds_WP_225674379.1_3161|0|-1,1,-1
756133|None|JADYUQ010000016.1_cds_MCF2692925.1_586|0|2,2,2
816814|None|JAMOHY010000040.1_cds_MCQ4243321.1_3353|0|-3,-3,-3
903642|None|JANBBF010000008.1_cds_MCR3733438.1_802|0|-2,-2,-2
732263|GCF_021531105.1|NZ_JAFBIN010000004.1_cds_WP_235415863.1_1641|0S|-2,-2,-2
808181|GCF_000183185.1|NC_017509.1_cds_WP_014579661.1_197|0|1,1,1
450614|GCF_014192335.1|NZ_JACHXU010000032.1_cds_WP_246421136.1_5574|0S|1,1,1
329695|None|BAAALH010000002.1_cds_GAA1126204.1_1744|0SS|-2,-2,-2
56482|None|NHSA01000079.1_cds_MBK5912417.1_2572|0|-2,-2,-2
47674|None|QHHQ01000007.1_cds_RAH98386.1_6279|0|3,3,3
71796|GCF_002865465.1|NZ_NIHP01000001.1_cds_WP_009244928.1_218|0|-3,-3,-3
947151|GCF_009810735.1|NZ_BLFX01000009.1_cds_WP_010874597.1_548|0S|-2,-2,-2
85801|None|CP102288.1_cds_UWP51646.1_1950|0S|-2,-2,-2
138269|None|VSFC01000062.1_cds_TYA52279.1_2254|0SS|2,2,2
586640|GCF_032586155.1|NZ_JAWHTC010000004.1_cds_WP_316301433.1_3349|0|2,2,2
804036|GCF_029542625.1|NZ_CP120733.1_cds_WP_277732798.1_356|0S|3,3,3
274764|GCF_004360145.1|NZ_SAIT01000016.1_cds_WP_240686556.1_2504|0|-1,-1,-1
635598|None|CP076020.1_cds_QWC00121.1_134|0|3,3,3
85851|None|CP102288.1_cds_UWP51727.1_2039|0|-1,-1,-1
989408|None|JAJNGV010000002.1_cds_MCD2350998.1_1973|0S|-2,-2,-2
372195|None|FRBS01000002.1_cds_SHL27564.1_1442|0|-1,-1,-1
373322|None|FRBS01000005.1_cds_SHL73155.1_2043|0S|-1,1,-1
30529|GCF_015903855.1|NZ_JACZDT010000001.1_cds_WP_197221068.1_552|0|-3,-3,-3
175493|GCF_015903895.1|NZ_JACZDU010000001.1_cds_WP_197127175.1_490|0|1,1,1
763938|GCF_009877425.1|NZ_WXEY01000004.1_cds_WP_161256540.1_2594|0S|1,1,1
682284|None|SNAA01000002.1_cds_TDL83703.1_1954|0|-1,-1,-1
838850|GCF_004342725.1|NZ_SMCP01000011.1_cds_WP_132967861.1_2128|0|3,3,3
411031|None|SIUB01000001.1_cds_TBN55135.1_868|0S|1,1,1
150697|GCF_012933545.1|NZ_JAADJU010000007.1_cds_WP_169403850.1_4217|0|1,1,1
660868|None|JAHOBK010000004.1_cds_MBV3175639.1_2695|0|2,2,2
301810|GCF_028327585.1|NZ_JAQMLR010000009.1_cds_WP_024853612.1_3249|0|3,3,3
929869|None|QRUX01000019.1_cds_RGS01218.1_977|0S|-1,3,-1
370427|None|FRBS01000001.1_cds_SHL01676.1_470|0|2,2,2
967114|GCF_022419205.1|NZ_JAJOZU010000001.1_cds_WP_240125119.1_336|0S|2,2,2
789261|GCF_027498055.1|NZ_CP114976.1_cds_WP_269819434.1_52|0|-3,-3,-3
554626|GCF_013283115.1|NZ_WBXW01000011.1_cds_WP_173496000.1_935|0S|-1,-1,-1
173114|GCF_003471195.1|NZ_QRIN01000076.1_cds_WP_006847953.1_2825|0|-1,-1,-1
874259|GCF_900454855.1|NZ_UGTJ01000001.1_cds_WP_115153700.1_1689|0S|3,3,3
321396|None|CP039766.1_cds_QHR20826.1_484|0|-3,-3,-3
474906|GCF_003439255.1|NZ_QSVB01000007.1_cds_WP_117606463.1_2748|0|1,1,1
465126|GCF_002777875.1|NZ_MEIW01000066.1_cds_WP_100116130.1_955|0S|3,3,3
271408|None|NFLO01000001.1_cds_OUQ47514.1_132|0|1,1,1
981223|GCF_009944335.1|NZ_CP039780.1_cds_WP_010874846.1_508|0|-3,-3,-3
81682|GCF_001570745.1|NZ_BCSG01000004.1_cds_WP_067847090.1_601|0|1,1,1
